id,No,Timecode In,Timecode Out,Timecode IN(milliseconds),Timecode Out(milliseconds),Subtitle
_K5qApskPdQ.en.v,15,00:00:18:08,00:00:19:12,"00:00:18,320","00:00:19,510",supporter class and<00:00:18.560><c> uh</c><00:00:18.720><c> we're</c><00:00:18.800><c> gonna</c><00:00:18.960><c> take</c><00:00:19.119><c> a</c><00:00:19.119><c> look</c><00:00:19.279><c> at</c><00:00:19.359><c> his</c>
_K5qApskPdQ.en.v,16,00:00:19:12,00:00:19:13,"00:00:19,510","00:00:19,520",and uh we're gonna take a look at his
_K5qApskPdQ.en.v,17,00:00:19:13,00:00:20:19,"00:00:19,520","00:00:20,790",and uh we're gonna take a look at his moves<00:00:19.840><c> really</c><00:00:20.000><c> quick</c><00:00:20.240><c> because</c><00:00:20.480><c> i've</c><00:00:20.640><c> been</c>
_K5qApskPdQ.en.v,18,00:00:20:19,00:00:20:20,"00:00:20,790","00:00:20,800",moves really quick because i've been
_K5qApskPdQ.en.v,19,00:00:20:20,00:00:21:24,"00:00:20,800","00:00:21,990",moves really quick because i've been reading<00:00:21.039><c> i've</c><00:00:21.199><c> been</c><00:00:21.359><c> reading</c><00:00:21.600><c> some</c><00:00:21.760><c> tier</c>
_K5qApskPdQ.en.v,20,00:00:21:24,00:00:22:00,"00:00:21,990","00:00:22,000",reading i've been reading some tier
_K5qApskPdQ.en.v,21,00:00:22:00,00:00:24:07,"00:00:22,000","00:00:24,310",reading i've been reading some tier lists<00:00:22.320><c> and</c><00:00:22.400><c> whatnot</c><00:00:22.800><c> and</c><00:00:22.960><c> it</c><00:00:23.039><c> seems</c><00:00:23.439><c> like</c><00:00:23.680><c> he's</c>
_K5qApskPdQ.en.v,22,00:00:24:07,00:00:24:08,"00:00:24,310","00:00:24,320",lists and whatnot and it seems like he's
_K5qApskPdQ.en.v,23,00:00:24:08,00:00:25:16,"00:00:24,320","00:00:25,670",lists and whatnot and it seems like he's all<00:00:24.560><c> over</c><00:00:24.720><c> the</c><00:00:24.800><c> place</c><00:00:24.960><c> people</c><00:00:25.199><c> have</c><00:00:25.359><c> different</c>
_K5qApskPdQ.en.v,24,00:00:25:16,00:00:25:17,"00:00:25,670","00:00:25,680",all over the place people have different
_K5qApskPdQ.en.v,25,00:00:25:17,00:00:27:24,"00:00:25,680","00:00:27,990",all over the place people have different ideas<00:00:26.240><c> of</c><00:00:26.480><c> what</c><00:00:26.800><c> uh</c><00:00:27.039><c> kind</c><00:00:27.199><c> of</c><00:00:27.359><c> pokemon</c><00:00:27.840><c> he</c>
_K5qApskPdQ.en.v,26,00:00:27:24,00:00:28:00,"00:00:27,990","00:00:28,000",ideas of what uh kind of pokemon he
_K5qApskPdQ.en.v,27,00:00:28:00,00:00:28:21,"00:00:28,000","00:00:28,870",ideas of what uh kind of pokemon he might<00:00:28.160><c> be</c>
_K5qApskPdQ.en.v,28,00:00:28:21,00:00:28:22,"00:00:28,870","00:00:28,880",might be
_K5qApskPdQ.en.v,29,00:00:28:22,00:00:30:23,"00:00:28,880","00:00:30,950",might be and<00:00:29.119><c> then</c><00:00:29.519><c> uh</c><00:00:29.760><c> if</c><00:00:29.920><c> you</c><00:00:30.000><c> take</c><00:00:30.160><c> a</c><00:00:30.240><c> look</c><00:00:30.720><c> you</c><00:00:30.880><c> know</c>
_K5qApskPdQ.en.v,30,00:00:30:23,00:00:30:24,"00:00:30,950","00:00:30,960",and then uh if you take a look you know
_K5qApskPdQ.en.v,31,00:00:30:24,00:00:32:11,"00:00:30,960","00:00:32,470",and then uh if you take a look you know he<00:00:31.119><c> has</c><00:00:31.279><c> fake</c><00:00:31.599><c> out</c><00:00:31.760><c> that</c><00:00:31.920><c> can</c><00:00:32.160><c> become</c>
_K5qApskPdQ.en.v,32,00:00:32:11,00:00:32:12,"00:00:32,470","00:00:32,480",he has fake out that can become
_K5qApskPdQ.en.v,33,00:00:32:12,00:00:33:18,"00:00:32,480","00:00:33,750",he has fake out that can become confusion<00:00:32.960><c> or</c><00:00:33.120><c> psychic</c>
_K5qApskPdQ.en.v,34,00:00:33:18,00:00:33:19,"00:00:33,750","00:00:33,760",confusion or psychic
_K5qApskPdQ.en.v,35,00:00:33:19,00:00:35:06,"00:00:33,760","00:00:35,270",confusion or psychic confusion<00:00:34.399><c> attacks</c><00:00:34.719><c> straight</c><00:00:34.960><c> in</c><00:00:35.040><c> front</c><00:00:35.200><c> of</c>
_K5qApskPdQ.en.v,36,00:00:35:06,00:00:35:07,"00:00:35,270","00:00:35,280",confusion attacks straight in front of
_K5qApskPdQ.en.v,37,00:00:35:07,00:00:36:21,"00:00:35,280","00:00:36,870",confusion attacks straight in front of the<00:00:35.360><c> user</c><00:00:35.600><c> dealing</c><00:00:36.000><c> damage</c><00:00:36.399><c> to</c><00:00:36.559><c> opposing</c>
_K5qApskPdQ.en.v,38,00:00:36:21,00:00:36:22,"00:00:36,870","00:00:36,880",the user dealing damage to opposing
_K5qApskPdQ.en.v,39,00:00:36:22,00:00:38:17,"00:00:36,880","00:00:38,709",the user dealing damage to opposing pokemon<00:00:37.520><c> and</c><00:00:37.680><c> shoving</c><00:00:38.079><c> it</c>
_K5qApskPdQ.en.v,40,00:00:38:17,00:00:38:17,"00:00:38,709","00:00:38,719",pokemon and shoving it
_K5qApskPdQ.en.v,41,00:00:38:17,00:00:40:17,"00:00:38,719","00:00:40,709",pokemon and shoving it uh<00:00:39.120><c> if</c><00:00:39.280><c> an</c><00:00:39.440><c> opposing</c><00:00:39.760><c> pokemon</c><00:00:40.239><c> shoved</c><00:00:40.399><c> by</c><00:00:40.559><c> this</c>
_K5qApskPdQ.en.v,42,00:00:40:17,00:00:40:17,"00:00:40,709","00:00:40,719",uh if an opposing pokemon shoved by this
_K5qApskPdQ.en.v,43,00:00:40:17,00:00:42:03,"00:00:40,719","00:00:42,150",uh if an opposing pokemon shoved by this move<00:00:40.960><c> hits</c><00:00:41.120><c> an</c><00:00:41.280><c> obstacle</c><00:00:41.600><c> it</c><00:00:41.680><c> receives</c>
_K5qApskPdQ.en.v,44,00:00:42:03,00:00:42:04,"00:00:42,150","00:00:42,160",move hits an obstacle it receives
_K5qApskPdQ.en.v,45,00:00:42:04,00:00:43:24,"00:00:42,160","00:00:43,990",move hits an obstacle it receives increased<00:00:42.559><c> damage</c><00:00:42.879><c> from</c><00:00:43.040><c> this</c><00:00:43.280><c> move</c><00:00:43.760><c> and</c><00:00:43.920><c> is</c>
_K5qApskPdQ.en.v,46,00:00:43:24,00:00:44:00,"00:00:43,990","00:00:44,000",increased damage from this move and is
_K5qApskPdQ.en.v,47,00:00:44:00,00:00:45:18,"00:00:44,000","00:00:45,750",increased damage from this move and is left<00:00:44.239><c> unable</c><00:00:44.559><c> to</c><00:00:44.719><c> act</c><00:00:45.120><c> if</c><00:00:45.280><c> the</c><00:00:45.360><c> opposing</c>
_K5qApskPdQ.en.v,48,00:00:45:18,00:00:45:19,"00:00:45,750","00:00:45,760",left unable to act if the opposing
_K5qApskPdQ.en.v,49,00:00:45:19,00:00:46:23,"00:00:45,760","00:00:46,950",left unable to act if the opposing pokemon<00:00:46.320><c> is</c><00:00:46.399><c> currently</c>
_K5qApskPdQ.en.v,50,00:00:46:23,00:00:46:24,"00:00:46,950","00:00:46,960",pokemon is currently
_K5qApskPdQ.en.v,51,00:00:46:24,00:00:48:23,"00:00:46,960","00:00:48,950",pokemon is currently guard<00:00:47.360><c> swapped</c><00:00:47.840><c> it</c><00:00:48.000><c> is</c><00:00:48.160><c> not</c><00:00:48.480><c> shoved</c><00:00:48.800><c> but</c>
_K5qApskPdQ.en.v,52,00:00:48:23,00:00:48:24,"00:00:48,950","00:00:48,960",guard swapped it is not shoved but
_K5qApskPdQ.en.v,53,00:00:48:24,00:00:50:21,"00:00:48,960","00:00:50,869",guard swapped it is not shoved but receives<00:00:49.280><c> increased</c><00:00:49.600><c> damage</c><00:00:49.920><c> from</c><00:00:50.079><c> this</c><00:00:50.239><c> move</c>
_K5qApskPdQ.en.v,54,00:00:50:21,00:00:50:21,"00:00:50,869","00:00:50,879",receives increased damage from this move
_K5qApskPdQ.en.v,55,00:00:50:21,00:00:53:24,"00:00:50,879","00:00:53,990",receives increased damage from this move and<00:00:51.120><c> is</c><00:00:51.280><c> left</c><00:00:52.079><c> left</c><00:00:52.320><c> what</c><00:00:53.199><c> left</c><00:00:53.600><c> uh</c>
_K5qApskPdQ.en.v,56,00:00:53:24,00:00:54:00,"00:00:53,990","00:00:54,000",and is left left what left uh
_K5qApskPdQ.en.v,57,00:00:54:00,00:00:57:14,"00:00:54,000","00:00:57,590",and is left left what left uh unable<00:00:54.320><c> to</c><00:00:54.399><c> act</c><00:00:54.559><c> for</c><00:00:54.719><c> a</c><00:00:54.800><c> short</c><00:00:55.199><c> time</c><00:00:56.239><c> so</c><00:00:56.879><c> hmm</c>
_K5qApskPdQ.en.v,58,00:00:57:14,00:00:57:15,"00:00:57,590","00:00:57,600",unable to act for a short time so hmm
_K5qApskPdQ.en.v,59,00:00:57:15,00:01:00:07,"00:00:57,600","00:01:00,310",unable to act for a short time so hmm okay<00:00:58.399><c> well</c><00:00:58.559><c> let's</c><00:00:58.719><c> think</c><00:00:58.879><c> about</c><00:00:59.039><c> that</c><00:00:59.359><c> psychic</c>
_K5qApskPdQ.en.v,60,00:01:00:07,00:01:00:08,"00:01:00,310","00:01:00,320",okay well let's think about that psychic
_K5qApskPdQ.en.v,61,00:01:00:08,00:01:00:21,"00:01:00,320","00:01:00,869",okay well let's think about that psychic uh
_K5qApskPdQ.en.v,62,00:01:00:21,00:01:00:21,"00:01:00,869","00:01:00,879",uh
_K5qApskPdQ.en.v,63,00:01:00:21,00:01:02:01,"00:01:00,879","00:01:02,069",uh let's<00:01:01.039><c> see</c><00:01:01.280><c> psychic</c><00:01:01.600><c> centers</c><00:01:01.920><c> one</c>
_K5qApskPdQ.en.v,64,00:01:02:01,00:01:02:01,"00:01:02,069","00:01:02,079",let's see psychic centers one
_K5qApskPdQ.en.v,65,00:01:02:01,00:01:04:15,"00:01:02,079","00:01:04,630",let's see psychic centers one telekinetic<00:01:02.719><c> blast</c><00:01:03.359><c> on</c><00:01:03.520><c> each</c><00:01:03.840><c> user</c><00:01:04.239><c> any</c><00:01:04.479><c> guard</c>
_K5qApskPdQ.en.v,66,00:01:04:15,00:01:04:16,"00:01:04,630","00:01:04,640",telekinetic blast on each user any guard
_K5qApskPdQ.en.v,67,00:01:04:16,00:01:06:03,"00:01:04,640","00:01:06,149",telekinetic blast on each user any guard swapped<00:01:04.960><c> opposing</c><00:01:05.280><c> pokemon</c>
_K5qApskPdQ.en.v,68,00:01:06:03,00:01:06:03,"00:01:06,149","00:01:06,159",swapped opposing pokemon
_K5qApskPdQ.en.v,69,00:01:06:03,00:01:08:05,"00:01:06,159","00:01:08,230",swapped opposing pokemon and<00:01:06.320><c> any</c><00:01:06.720><c> light</c><00:01:07.040><c> screen</c><00:01:07.360><c> or</c><00:01:07.520><c> barrier</c><00:01:07.920><c> walls</c>
_K5qApskPdQ.en.v,70,00:01:08:05,00:01:08:06,"00:01:08,230","00:01:08,240",and any light screen or barrier walls
_K5qApskPdQ.en.v,71,00:01:08:06,00:01:09:22,"00:01:08,240","00:01:09,910",and any light screen or barrier walls created<00:01:08.479><c> by</c><00:01:08.640><c> the</c><00:01:08.799><c> user</c>
_K5qApskPdQ.en.v,72,00:01:09:22,00:01:09:23,"00:01:09,910","00:01:09,920",created by the user
_K5qApskPdQ.en.v,73,00:01:09:23,00:01:12:01,"00:01:09,920","00:01:12,070",created by the user damaging<00:01:10.880><c> all</c><00:01:11.040><c> opposing</c><00:01:11.360><c> pokemon</c><00:01:11.840><c> caught</c><00:01:12.000><c> in</c>
_K5qApskPdQ.en.v,74,00:01:12:01,00:01:12:02,"00:01:12,070","00:01:12,080",damaging all opposing pokemon caught in
_K5qApskPdQ.en.v,75,00:01:12:02,00:01:13:02,"00:01:12,080","00:01:13,109",damaging all opposing pokemon caught in the<00:01:12.240><c> blast</c><00:01:12.479><c> and</c><00:01:12.560><c> lowering</c><00:01:12.799><c> the</c><00:01:12.880><c> special</c>
_K5qApskPdQ.en.v,76,00:01:13:02,00:01:13:02,"00:01:13,109","00:01:13,119",the blast and lowering the special
_K5qApskPdQ.en.v,77,00:01:13:02,00:01:14:15,"00:01:13,119","00:01:14,630",the blast and lowering the special defense<00:01:13.439><c> for</c><00:01:13.520><c> a</c><00:01:13.600><c> short</c><00:01:13.840><c> time</c>
_K5qApskPdQ.en.v,78,00:01:14:15,00:01:14:16,"00:01:14,630","00:01:14,640",defense for a short time
_K5qApskPdQ.en.v,79,00:01:14:16,00:01:18:01,"00:01:14,640","00:01:18,070",defense for a short time um<00:01:16.640><c> okay</c><00:01:17.520><c> so</c>
_K5qApskPdQ.en.v,80,00:01:18:01,00:01:18:02,"00:01:18,070","00:01:18,080",um okay so
_K5qApskPdQ.en.v,81,00:01:18:02,00:01:19:08,"00:01:18,080","00:01:19,350",um okay so so<00:01:18.240><c> the</c><00:01:18.320><c> thing</c><00:01:18.560><c> is</c><00:01:18.640><c> is</c><00:01:18.799><c> both</c><00:01:18.960><c> of</c><00:01:19.040><c> these</c><00:01:19.200><c> kind</c><00:01:19.280><c> of</c>
_K5qApskPdQ.en.v,82,00:01:19:08,00:01:19:09,"00:01:19,350","00:01:19,360",so the thing is is both of these kind of
_K5qApskPdQ.en.v,83,00:01:19:09,00:01:21:12,"00:01:19,360","00:01:21,510",so the thing is is both of these kind of rely<00:01:19.680><c> on</c><00:01:19.920><c> guard</c><00:01:20.240><c> swapping</c><00:01:20.960><c> and</c><00:01:21.119><c> if</c><00:01:21.200><c> you</c><00:01:21.280><c> take</c><00:01:21.439><c> a</c>
_K5qApskPdQ.en.v,84,00:01:21:12,00:01:21:13,"00:01:21,510","00:01:21,520",rely on guard swapping and if you take a
_K5qApskPdQ.en.v,85,00:01:21:13,00:01:22:03,"00:01:21,520","00:01:22,149",rely on guard swapping and if you take a look<00:01:21.680><c> at</c><00:01:21.840><c> the</c>
_K5qApskPdQ.en.v,86,00:01:22:03,00:01:22:03,"00:01:22,149","00:01:22,159",look at the
_K5qApskPdQ.en.v,87,00:01:22:03,00:01:24:17,"00:01:22,159","00:01:24,710",look at the uh<00:01:22.479><c> this</c><00:01:22.640><c> right</c><00:01:22.880><c> here</c><00:01:23.040><c> guard</c><00:01:23.280><c> swap</c><00:01:23.600><c> is</c><00:01:23.920><c> is</c><00:01:24.400><c> is</c><00:01:24.560><c> a</c>
_K5qApskPdQ.en.v,88,00:01:24:17,00:01:24:18,"00:01:24,710","00:01:24,720",uh this right here guard swap is is is a
_K5qApskPdQ.en.v,89,00:01:24:18,00:01:26:13,"00:01:24,720","00:01:26,550",uh this right here guard swap is is is a debuff<00:01:25.119><c> here</c><00:01:25.280><c> that</c><00:01:25.439><c> he</c><00:01:25.840><c> can</c><00:01:25.920><c> get</c><00:01:26.159><c> so</c><00:01:26.320><c> i</c><00:01:26.400><c> think</c>
_K5qApskPdQ.en.v,90,00:01:26:13,00:01:26:14,"00:01:26,550","00:01:26,560",debuff here that he can get so i think
_K5qApskPdQ.en.v,91,00:01:26:14,00:01:28:15,"00:01:26,560","00:01:28,630",debuff here that he can get so i think i'm<00:01:26.720><c> going</c><00:01:26.799><c> to</c><00:01:26.880><c> want</c><00:01:27.040><c> to</c><00:01:27.119><c> use</c><00:01:27.439><c> guard</c><00:01:27.759><c> swap</c>
_K5qApskPdQ.en.v,92,00:01:28:15,00:01:28:16,"00:01:28,630","00:01:28,640",i'm going to want to use guard swap
_K5qApskPdQ.en.v,93,00:01:28:16,00:01:30:01,"00:01:28,640","00:01:30,069",i'm going to want to use guard swap normally<00:01:29.040><c> rather</c><00:01:29.280><c> than</c><00:01:29.439><c> the</c><00:01:29.520><c> barrier</c>
_K5qApskPdQ.en.v,94,00:01:30:01,00:01:30:01,"00:01:30,069","00:01:30,079",normally rather than the barrier
_K5qApskPdQ.en.v,95,00:01:30:01,00:01:31:08,"00:01:30,079","00:01:31,350",normally rather than the barrier although<00:01:30.240><c> i</c><00:01:30.400><c> probably</c><00:01:30.640><c> use</c><00:01:30.799><c> the</c><00:01:30.960><c> barrier</c><00:01:31.280><c> in</c>
_K5qApskPdQ.en.v,96,00:01:31:08,00:01:31:09,"00:01:31,350","00:01:31,360",although i probably use the barrier in
_K5qApskPdQ.en.v,97,00:01:31:09,00:01:32:07,"00:01:31,360","00:01:32,310",although i probably use the barrier in like<00:01:31.520><c> a</c><00:01:31.600><c> different</c><00:01:31.840><c> round</c>
_K5qApskPdQ.en.v,98,00:01:32:07,00:01:32:08,"00:01:32,310","00:01:32,320",like a different round
_K5qApskPdQ.en.v,99,00:01:32:08,00:01:34:17,"00:01:32,320","00:01:34,710",like a different round i<00:01:32.479><c> can</c><00:01:32.720><c> create</c><00:01:32.880><c> a</c><00:01:32.960><c> translucent</c><00:01:33.520><c> wall</c><00:01:34.159><c> uh</c><00:01:34.479><c> that</c>
_K5qApskPdQ.en.v,100,00:01:34:17,00:01:34:18,"00:01:34,710","00:01:34,720",i can create a translucent wall uh that
_K5qApskPdQ.en.v,101,00:01:34:18,00:01:36:13,"00:01:34,720","00:01:36,550",i can create a translucent wall uh that kind<00:01:34.880><c> of</c><00:01:34.960><c> blocks</c><00:01:35.360><c> them</c><00:01:35.439><c> from</c><00:01:35.600><c> going</c><00:01:35.920><c> through</c>
_K5qApskPdQ.en.v,102,00:01:36:13,00:01:36:14,"00:01:36,550","00:01:36,560",kind of blocks them from going through
_K5qApskPdQ.en.v,103,00:01:36:14,00:01:38:13,"00:01:36,560","00:01:38,550",kind of blocks them from going through uh<00:01:36.880><c> guard</c><00:01:37.200><c> swap</c><00:01:37.600><c> is</c><00:01:37.680><c> what</c><00:01:38.000><c> you</c><00:01:38.159><c> know</c><00:01:38.320><c> will</c>
_K5qApskPdQ.en.v,104,00:01:38:13,00:01:38:14,"00:01:38,550","00:01:38,560",uh guard swap is what you know will
_K5qApskPdQ.en.v,105,00:01:38:14,00:01:40:05,"00:01:38,560","00:01:40,230",uh guard swap is what you know will trigger<00:01:38.960><c> the</c><00:01:39.280><c> the</c><00:01:39.439><c> better</c>
_K5qApskPdQ.en.v,106,00:01:40:05,00:01:40:06,"00:01:40,230","00:01:40,240",trigger the the better
_K5qApskPdQ.en.v,107,00:01:40:06,00:01:43:10,"00:01:40,240","00:01:43,429",trigger the the better versions<00:01:40.720><c> of</c><00:01:40.799><c> these</c><00:01:41.119><c> moves</c><00:01:41.680><c> over</c><00:01:41.920><c> here</c><00:01:42.799><c> and</c><00:01:43.119><c> so</c>
_K5qApskPdQ.en.v,108,00:01:43:10,00:01:43:10,"00:01:43,429","00:01:43,439",versions of these moves over here and so
_K5qApskPdQ.en.v,109,00:01:43:10,00:01:44:23,"00:01:43,439","00:01:44,950",versions of these moves over here and so i'm<00:01:43.520><c> gonna</c><00:01:43.680><c> want</c><00:01:43.840><c> to</c><00:01:44.000><c> probably</c><00:01:44.240><c> use</c><00:01:44.479><c> that</c><00:01:44.720><c> so</c>
_K5qApskPdQ.en.v,110,00:01:44:23,00:01:44:24,"00:01:44,950","00:01:44,960",i'm gonna want to probably use that so
_K5qApskPdQ.en.v,111,00:01:44:24,00:01:46:17,"00:01:44,960","00:01:46,710",i'm gonna want to probably use that so swaps<00:01:45.360><c> users</c><00:01:45.680><c> defense</c><00:01:46.000><c> and</c><00:01:46.079><c> special</c><00:01:46.320><c> defense</c>
_K5qApskPdQ.en.v,112,00:01:46:17,00:01:46:18,"00:01:46,710","00:01:46,720",swaps users defense and special defense
_K5qApskPdQ.en.v,113,00:01:46:18,00:01:48:11,"00:01:46,720","00:01:48,469",swaps users defense and special defense stats<00:01:47.040><c> but</c><00:01:47.200><c> those</c><00:01:47.439><c> of</c><00:01:47.520><c> another</c><00:01:47.759><c> pokemon</c><00:01:48.240><c> for</c><00:01:48.399><c> a</c>
_K5qApskPdQ.en.v,114,00:01:48:11,00:01:48:11,"00:01:48,469","00:01:48,479",stats but those of another pokemon for a
_K5qApskPdQ.en.v,115,00:01:48:11,00:01:49:20,"00:01:48,479","00:01:49,830",stats but those of another pokemon for a short<00:01:48.720><c> time</c><00:01:48.880><c> when</c><00:01:49.040><c> it</c><00:01:49.119><c> hits</c>
_K5qApskPdQ.en.v,116,00:01:49:20,00:01:49:21,"00:01:49,830","00:01:49,840",short time when it hits
_K5qApskPdQ.en.v,117,00:01:49:21,00:01:51:12,"00:01:49,840","00:01:51,510",short time when it hits stopping<00:01:50.159><c> with</c><00:01:50.320><c> imposing</c><00:01:50.640><c> pokemon</c><00:01:51.119><c> deals</c><00:01:51.439><c> at</c>
_K5qApskPdQ.en.v,118,00:01:51:12,00:01:51:13,"00:01:51,510","00:01:51,520",stopping with imposing pokemon deals at
_K5qApskPdQ.en.v,119,00:01:51:13,00:01:52:23,"00:01:51,520","00:01:52,950",stopping with imposing pokemon deals at damage<00:01:51.920><c> over</c><00:01:52.159><c> time</c><00:01:52.320><c> and</c><00:01:52.399><c> increases</c><00:01:52.880><c> its</c>
_K5qApskPdQ.en.v,120,00:01:52:23,00:01:52:24,"00:01:52,950","00:01:52,960",damage over time and increases its
_K5qApskPdQ.en.v,121,00:01:52:24,00:01:54:05,"00:01:52,960","00:01:54,230",damage over time and increases its movement<00:01:53.280><c> speed</c><00:01:53.520><c> so</c><00:01:53.680><c> what</c><00:01:53.840><c> i'm</c><00:01:53.920><c> gonna</c><00:01:54.079><c> want</c><00:01:54.159><c> to</c>
_K5qApskPdQ.en.v,122,00:01:54:05,00:01:54:06,"00:01:54,230","00:01:54,240",movement speed so what i'm gonna want to
_K5qApskPdQ.en.v,123,00:01:54:06,00:01:55:10,"00:01:54,240","00:01:55,429",movement speed so what i'm gonna want to do<00:01:54.399><c> is</c><00:01:54.479><c> probably</c><00:01:54.640><c> hit</c><00:01:54.799><c> him</c><00:01:54.880><c> with</c><00:01:54.960><c> guard</c><00:01:55.200><c> swap</c>
_K5qApskPdQ.en.v,124,00:01:55:10,00:01:55:10,"00:01:55,429","00:01:55,439",do is probably hit him with guard swap
_K5qApskPdQ.en.v,125,00:01:55:10,00:01:57:02,"00:01:55,439","00:01:57,109",do is probably hit him with guard swap and<00:01:55.520><c> then</c><00:01:55.680><c> hit</c><00:01:55.840><c> him</c><00:01:55.920><c> with</c><00:01:56.000><c> something</c><00:01:56.320><c> else</c>
_K5qApskPdQ.en.v,126,00:01:57:02,00:01:57:02,"00:01:57,109","00:01:57,119",and then hit him with something else
_K5qApskPdQ.en.v,127,00:01:57:02,00:02:01:14,"00:01:57,119","00:02:01,590",and then hit him with something else probably<00:01:57.520><c> confusion</c><00:01:58.719><c> um</c><00:02:00.000><c> so</c><00:02:00.159><c> i'll</c><00:02:00.320><c> try</c><00:02:00.640><c> it</c>
_K5qApskPdQ.en.v,128,00:02:01:14,00:02:01:15,"00:02:01,590","00:02:01,600",probably confusion um so i'll try it
_K5qApskPdQ.en.v,129,00:02:01:15,00:02:03:18,"00:02:01,600","00:02:03,749",probably confusion um so i'll try it unite<00:02:02.000><c> move</c><00:02:02.320><c> showtime</c><00:02:02.960><c> has</c><00:02:03.119><c> the</c><00:02:03.200><c> user</c><00:02:03.439><c> jump</c><00:02:03.600><c> to</c>
_K5qApskPdQ.en.v,130,00:02:03:18,00:02:03:18,"00:02:03,749","00:02:03,759",unite move showtime has the user jump to
_K5qApskPdQ.en.v,131,00:02:03:18,00:02:05:04,"00:02:03,759","00:02:05,190",unite move showtime has the user jump to the<00:02:03.840><c> designated</c><00:02:04.320><c> location</c>
_K5qApskPdQ.en.v,132,00:02:05:04,00:02:05:05,"00:02:05,190","00:02:05,200",the designated location
_K5qApskPdQ.en.v,133,00:02:05:05,00:02:07:10,"00:02:05,200","00:02:07,429",the designated location and<00:02:05.439><c> start</c><00:02:05.680><c> a</c><00:02:05.840><c> pantomiming</c><00:02:06.719><c> performance</c>
_K5qApskPdQ.en.v,134,00:02:07:10,00:02:07:10,"00:02:07,429","00:02:07,439",and start a pantomiming performance
_K5qApskPdQ.en.v,135,00:02:07:10,00:02:08:21,"00:02:07,439","00:02:08,869",and start a pantomiming performance dealing<00:02:07.759><c> damage</c><00:02:08.080><c> over</c><00:02:08.319><c> time</c><00:02:08.479><c> to</c><00:02:08.560><c> opposing</c>
_K5qApskPdQ.en.v,136,00:02:08:21,00:02:08:21,"00:02:08,869","00:02:08,879",dealing damage over time to opposing
_K5qApskPdQ.en.v,137,00:02:08:21,00:02:10:01,"00:02:08,879","00:02:10,070",dealing damage over time to opposing pokemon<00:02:09.200><c> in</c><00:02:09.280><c> the</c><00:02:09.360><c> area</c><00:02:09.520><c> of</c><00:02:09.599><c> effect</c>
_K5qApskPdQ.en.v,138,00:02:10:01,00:02:10:02,"00:02:10,070","00:02:10,080",pokemon in the area of effect
